FAIL - Document /home/nick/Projects/dtn/dtn/draft-perry-dtn-cpb/draft-perry-dtn-cpb.xml has nits. (mode: normal)

[1] Error | FILENAME_INVALID_VERSION_SUFFIX | Filename must end with a version in format 00.
[2] Comment | NON_ASCII_UTF8 | Review RFC7997 to ensure your document respects UTF-8 rules for non-ASCII.
[3] Error | FILENAME_DOCNAME_MISMATCH | Filename does not match the name declared in the document.
[4] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "SHOULD" should be enclosed in <bcp14></bcp14> tags.
[5] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "MAY" should be enclosed in <bcp14></bcp14> tags.
[6] Comment | INVALID_REQLEVEL_KEYWORD | not MUST is not a valid BCP14 Requirement Level keyword.
[7] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "SHOULD" should be enclosed in <bcp14></bcp14> tags.
[8] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "MUST" should be enclosed in <bcp14></bcp14> tags.
[9] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "SHOULD" should be enclosed in <bcp14></bcp14> tags.
[10] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "SHOULD" should be enclosed in <bcp14></bcp14> tags.
[11] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "SHOULD" should be enclosed in <bcp14></bcp14> tags.
[12] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "MUST" should be enclosed in <bcp14></bcp14> tags.
[13] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "MUST" should be enclosed in <bcp14></bcp14> tags.
[14] Comment | MISSING_BCP14_TAGS | The BCP14 keyword "SHOULD" should be enclosed in <bcp14></bcp14> tags.
[15] Warning | DOC_DATE_IN_PAST | The document date is 8 days in the past. Is this intentional?
